Adventurous,Moderate,Cautious
256.0071,220.7089,197.9766
259.0285,222.4855,198.8537
259.7469,222.8946,199.0491
256.8879,221.0864,197.9715
254.6907,219.6268,197.1451
255.9918,220.2923,197.4723
254.0129,219.3008,196.9194
258.1529,221.6244,198.0934
256.9872,221.1355,198.0392
260.9766,223.4128,199.2301
262.2352,224.2846,199.7765
262.9642,224.7256,200.1569
263.16,224.9476,200.2967
267.3141,227.4088,201.6977
267.7522,227.4607,201.4678
268.2733,227.9582,201.7087
270.11,228.8209,201.9933
264.1127,225.5435,200.7172
262.7674,224.8169,200.4929
266.6465,227.0335,201.5174
265.9979,226.6969,201.4361
265.958,226.7707,201.5694
265.5874,226.7839,201.7483
262.0042,224.6371,200.6594
259.6441,223.1491,199.8618
265.6034,226.9248,202.0591
264.8785,226.7346,202.2524
264.9001,227.2424,202.7665
267.8422,228.8468,203.5863
269.8317,230.0556,204.365
265.5369,228.4618,203.9034
269.0157,230.337,204.8666
271.6562,231.673,205.3339
272.8022,232.5236,205.6436
273.5718,232.7696,205.5691
276.3393,233.9537,205.9138
274.2718,232.8925,205.329
278.5609,235.3733,206.59
275.232,233.3737,205.597
273.4207,232.3383,205.146
270.4977,230.7089,204.4471
270.9387,231.0036,204.5717
273.8874,232.1781,204.9727
273.9011,232.4294,205.3714
277.3397,234.2062,206.2037
275.7259,233.2603,205.7001
274.4984,232.6675,205.407
273.7615,232.6761,205.7474
277.2264,234.9259,207.1172
273.8153,232.4022,205.4405
278.6081,235.064,206.7789
275.9602,233.3046,205.8489
279.3353,234.9157,206.5406
276.3298,233.1928,205.7552
280.9894,235.9375,206.9759
277.0764,233.712,205.9639
277.1508,234.091,206.3096
271.3236,230.6335,204.5101
273.9223,232.34,205.4353
273.8234,232.5817,205.5555
274.3714,232.8971,205.4021
280.3259,236.2327,207.1211
285.416,238.7704,208.1875
284.3015,238.3457,208.0274
285.2552,238.9675,208.2993
285.8617,239.3501,208.4432
284.4929,238.6402,207.9503
286.2221,239.8055,208.6552
287.346,240.6828,209.2281
289.0962,241.4292,209.4423
286.8961,239.7041,208.3299
284.9711,238.4746,207.666
287.5066,239.5837,208.261
287.646,239.939,208.5414
287.5663,240.2581,208.6627
285.584,239.7209,208.4469
285.8478,239.9278,208.5858
288.1326,241.2912,209.3324
289.329,242.0562,209.7924
290.2203,242.5121,209.9393
290.2203,242.7163,210.0124
290.2638,242.8746,210.2157
289.7339,243.1549,210.3829
295.0952,246.0517,211.9535
296.7906,246.9389,212.4054
295.9957,245.806,212.0235
294.7572,246.3658,212.2052
297.2422,244.4005,211.2983
293.1668,245.0068,211.4155
292.2636,241.687,209.8133
278.0996,237.9857,207.6929
277.0645,236.2149,206.4969
281.7848,237.7702,207.2617
285.694,239.2772,207.9986
285.7804,239.9596,208.3844
289.0037,239.3726,207.8627
282.9938,239.0374,207.5219
286.7508,240.4211,208.1615
290.2201,240.1452,207.9332
286.6094,238.1725,206.8368
282.8884,233.7646,204.8368
274.1092,233.5828,205.1501
276.4549,234.2438,205.5255
277.507,235.9539,206.5667
279.2009,237.1748,207.1589
278.5815,237.1192,207.1116
284.1588,240.277,208.6253
281.9072,239.1908,208.135
288.6795,243.0242,210.0856
289.4994,243.3601,210.1221
292.1667,244.7898,210.6874
296.0368,247.0827,211.783
296.7849,247.6815,212.0317
299.2443,249.5204,212.843
299.5869,249.102,212.3021
297.1459,247.4264,211.2083
299.7857,249.3723,212.3342
300.8786,249.8609,212.1442
304.5125,251.7659,213.015
302.4395,250.4626,212.3628
302.2047,250.2177,211.9514
297.3612,247.7361,211.054
298.7353,248.8185,211.5881
296.6406,247.3198,210.6362
299.1887,248.8493,211.5589
304.2552,251.6135,212.7422
306.9393,252.7613,213.1375
304.6853,251.485,212.5195
306.4027,252.6885,213.4227
304.8013,252.401,213.7574
306.7122,252.961,213.4476
311.828,255.948,214.8892
308.9552,254.1135,213.7504
309.432,254.3794,213.6741
310.5616,255.0541,214.0734
310.9472,255.3635,214.0734
312.0313,255.4015,214.0503
312.6144,255.4572,213.6487
305.1292,251.5712,211.9485
305.3624,251.9519,212.0105
304.7484,252.0775,212.3456
307.6279,253.8179,213.4597
307.98,254.1963,213.5023
309.4752,254.6953,213.7022
307.0521,253.6208,213.103
298.4909,248.673,210.9271
287.4104,242.6112,208.5148
291.8561,244.7922,209.2397
286.9516,241.7259,207.5912
284.5138,240.3749,206.972
289.5457,243.5782,208.6756
289.7622,243.2958,208.7478
292.5935,244.9327,209.3886
289.5747,243.1864,208.477
292.3184,243.1531,207.7416
285.7092,239.4324,206.0883
289.7486,241.647,207.0686
292.7913,242.5293,206.858
289.8176,240.7367,206.0217
284.1636,237.1725,204.1382
287.3485,239.1357,205.4036
280.5477,235.7066,203.8943
272.5667,231.232,201.8885
274.2716,231.4817,201.6395
277.1077,233.5125,202.7658
276.3713,234.0126,203.226
285.5846,238.7737,205.3974
283.5298,237.6573,205.0673
287.017,240.1038,206.4147
285.398,239.1405,206.0078
285.065,238.5627,205.7816
287.935,240.7315,207.1183
292.7081,243.5183,208.6835
290.4764,241.7889,207.8706
294.6491,244.2073,209.1322
296.7917,245.8051,210.0135
296.6534,245.9661,210.2964
292.5866,243.8524,209.4095
296.1864,245.827,210.433
294.619,245.0395,210.2315
295.8057,245.4669,210.5037
296.2902,245.8089,210.8233
298.943,247.5374,211.9431
294.5994,245.2693,211.0349
298.5934,247.2921,212.1383
302.8846,249.7539,213.3562
306.5806,251.6347,214.285
306.3983,251.621,214.4258
308.8388,252.9255,215.1904
309.5535,253.2635,215.1904
312.8964,255.1005,215.1904
313.1043,255.0628,215.1904
311.5493,254.0821,215.1904
307.7774,251.9519,216.0973
305.5776,250.838,216.0973
309.726,253.3745,216.0973
312.0585,254.5399,216.0973
310.8084,253.718,216.0973
309.0005,252.4056,215.4216
